job_id,title,company,city,location,work_mode,applications,posted_before,skills,url
4280850574,Vi vill bli fler i köket på Pinchos Landskrona,Pincho Nation,Landskrona,"Landskrona, Skåne County, Sweden",On-site,0.0,2 days ago,"Open Source Software, AV",https://www.linkedin.com/jobs/search/?currentJobId=4280850574&keywords=&location=Sweden&start=125
4280987498,Privacy Analyst,Spotify,Stockholm,"Stockholm, Stockholm County, Sweden",,37.0,2 days ago,"Analytical Skills, English, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4280987498&keywords=&location=Sweden&start=150
4270718795,Real Estate Agent (Relocate to Dubai),Range International Property Investment,Stockholm,"Stockholm, Stockholm County, Sweden",On-site,79.0,2 weeks ago,"Real Estate Transactions, Negotiation, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4270718795&keywords=&location=Sweden&start=150
4281530983,"Teacher, Substitute, Ages 10 - 15",Internationella Engelska Skolan i Sverige AB,Stockholm,"Stockholm, Stockholm County, Sweden",On-site,0.0,2 days ago,"English, Teaching, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4281530983&keywords=&location=Sweden&start=150
4278827540,Garderobiär,The House Halmstad,Halmstad,"Halmstad, Halland County, Sweden",On-site,1.0,2 days ago,"AV, Operations Management, +1 more",https://www.linkedin.com/jobs/search/?currentJobId=4278827540&keywords=&location=Sweden&start=150
4270038616,Assistant Manager,Five Guys Scandinavia,Uppsala,"Uppsala, Uppsala County, Sweden",On-site,28.0,2 weeks ago,"Daily Operations, Coaching, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4270038616&keywords=&location=Sweden&start=150
4280133750,"Greeter Hubhult, Ingka AB",IKEA,Malmo,"Malmo, Skåne County, Sweden",,53.0,4 days ago,"Telephone etiquette, Computer operation, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4280133750&keywords=&location=Sweden&start=150
4279250601,Barista till Caffè Nero i Kungshallen,Caffè Nero Sweden,Stockholm,"Stockholm, Stockholm County, Sweden",On-site,14.0,4 days ago,"Cash Processing, Food and Beverage, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4279250601&keywords=&location=Sweden&start=150
4272487097,"Allakando läxhjälp Lund, privatlärare, Allmän läxhjälp",Allakando,Lund,"Lund, Skåne County, Sweden",Remote,1.0,2 weeks ago,"Tutoring, Advanced Mathematics, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4272487097&keywords=&location=Sweden&start=150
4271830450,Mäklarkoordinator till huvudkontoret på Svensk Fastighetsförmedling,Svensk Fastighetsförmedling,Stockholm,"Stockholm, Stockholm County, Sweden",On-site,2.0,2 weeks ago,"Operations Management, AV, +6 more",https://www.linkedin.com/jobs/search/?currentJobId=4271830450&keywords=&location=Sweden&start=150
4280569854,Kundkoordinator,XEC Group AB,Stockholm,"Stockholm, Stockholm County, Sweden",On-site,77.0,2 days ago,"Customer Management, Interpersonal Skills, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4280569854&keywords=&location=Sweden&start=150
4269533116,IT Support Technician,Hydroscand Group,Stockholm,"Stockholm, Stockholm County, Sweden",On-site,100.0,3 weeks ago,"Windows 10, Help Desk, +8 more",https://www.linkedin.com/jobs/search/?currentJobId=4269533116&keywords=&location=Sweden&start=150
4261963102,Timvikarier till LSS-verksamhet,Föreningen Betaniahemmet,Gothenburg,"Gothenburg, Västra Götaland County, Sweden",,3.0,4 weeks ago,"Operations Management, Open Source Software, +2 more",https://www.linkedin.com/jobs/search/?currentJobId=4261963102&keywords=&location=Sweden&start=150
4268303023,Ansvarsfulla laboranter till Iggesunds Bruk,Holmen,Hudiksvall,"Hudiksvall, Gävleborg County, Sweden",On-site,3.0,2 weeks ago,"AV, Material Management, +7 more",https://www.linkedin.com/jobs/search/?currentJobId=4268303023&keywords=&location=Sweden&start=150
